category,Pipeline,Event_TP,Event_TN,Event_FP,Event_FN,Event_Accuracy,Event_Precision,Event_Recall,Event_F1,MCC,TP_pixel,TN_pixel,FP_pixel,FN_pixel,Recall,Specificity,FPR,FNR,Precision,CDnet_FMeasure,PWC,avg_CPU,avg_process_cpu_percent,max_process_cpu_percent,median_CPU,avg_RAM,avg_ram_mb,max_ram_mb,avg_FPS,median_FPS,avg_latency_ms,median_latency_ms,P95_latency_ms,P99_latency_ms,Activation,processed_frames,temporal_roi_start,temporal_roi_end,evaluated_frames,skipped_frames_before_roi,warmup_frames,reused_prediction_count,reused_prediction_rate,Energy/frame,simulated_runtime_energy/frame,runtime_seconds,CPU_reduction_rate,EE_Gate_Score,mAP_50
intermittentObjectMotion,P1_YOLO_Only,1703.6666666666667,1.3333333333333333,284.5,29.0,0.8197580301667754,0.8345090522917321,0.9849049281175034,0.8873024583166912,0.00772767151262975,1276809.8333333333,37854098.5,10649060.0,590757.0,0.6657867875362727,0.8324991429216092,0.16750085707839077,0.3342132124637272,0.42947769957931176,0.32982864798245626,19.081252133313217,162.5099665729247,162.5099665729247,191.38750000000002,165.73749999999998,1.9281474061237491,631.8153588480851,635.6881510416666,4.103966380331918,4.147410262900249,253.54223074375295,244.11686261494955,323.45933715502423,422.2279965877533,1.0,2018.5,1090.8333333333333,3108.3333333333335,2018.5,1089.8333333333333,0.0,0.0,0.0,6.200000000000002,7.824682002097947,514.2459087371826,0.0,0.8197580301667754,0.07844786331646476
intermittentObjectMotion,P2_FrameDiff,1079.5,192.0,93.83333333333333,653.1666666666666,0.6015345460449243,0.8023024645475162,0.49899244812909466,0.5557245627884354,-0.012358257555219167,810652.5,44127371.833333336,4375786.666666667,1056914.3333333333,0.28077340094475667,0.9024969397593657,0.09750306024063427,0.7192265990552432,0.34049356434094374,0.19125325324374517,14.033574565225244,91.7132488449738,91.7132488449738,238.17916666666667,107.04583333333333,1.9539241021454814,640.2618477664682,642.64453125,57.343616609922265,2.6461940125337096,127.51782944462666,122.29671080907185,205.47433694203696,339.2710705598196,0.5027120670361876,2018.5,1090.8333333333333,3108.3333333333335,2018.5,1089.8333333333333,0.0,0.0,0.0,3.813560335180938,4.623699739645849,301.80132313569385,0.43411928282903395,0.8015399004321638,0.0038772126605554447
intermittentObjectMotion,P3_MOG2,1474.8333333333333,127.0,158.83333333333334,257.8333333333333,0.7865597447554197,0.883940269884147,0.8225942501306577,0.8424581888947049,0.13884386810577246,1096839.8333333333,41677772.666666664,6825385.833333333,770727.0,0.5619152167901366,0.8657983670483104,0.13420163295168955,0.4380847832098634,0.4264066054323105,0.3105345164747013,16.529366271177288,135.43193227549054,135.43193227549054,302.7625,163.25625,1.8851657526972339,617.7311267593448,621.9212239583334,55.50480713959348,4.407737625504942,188.4776544949789,225.14895598093668,293.32880179087323,393.492313226064,0.7772820504913932,2018.5,1090.8333333333333,3108.3333333333335,2018.5,1089.8333333333333,50.0,0.0,0.0,5.586410252456967,6.452901363034346,404.3438736597697,0.165741382896479,0.8981469616686405,0.048568511603022384
lowFramerate,ASMAG_TR_CONTROLLER,360.25,203.75,710.75,26.25,0.4217895963735354,0.3520671553861464,0.9633208966100213,0.49411317585286196,0.1279094958679721,1203590.25,85289527.25,6138147.0,594803.75,0.5846320017674956,0.9627462669784773,0.0372537330215226,0.41536799823250425,0.48362823161106794,0.48965143176350456,4.2974899301332865,161.33142551278112,161.33142551278112,296.35,167.725,2.024575653972102,663.4129556619878,664.4375,15.212516369239875,4.597639248277968,201.59178760896978,217.6099419593811,292.09810495376587,344.1805839538574,0.8815820335196167,1301.0,1050.0,2350.0,1301.0,1049.0,50.0,0.0,0.0,6.107910167598085,7.454508374288318,256.5317566394806,0.011703475126270473,0.4257632759346888,0.16053400585984978
lowFramerate,ASMAG_TR_CONTROLLER_ONLINE_CALIBRATED,379.0,189.0,725.5,7.5,0.4237885968732855,0.35440736801182254,0.9855102457224474,0.50110363743685,0.15081808208292266,1251112.5,82776827.25,8650847.0,547281.5,0.5777598318278121,0.9479687520373177,0.05203124796268228,0.42224016817218785,0.45452049250332677,0.4590102558380417,5.755948520355172,156.01705174554232,156.01705174554232,236.2,167.66875,2.3032833422832337,754.7399858512979,759.2666015625,5.709888338061558,3.9262698345953075,241.50649510921656,259.56737995147705,345.6193208694458,408.80733728408813,0.8533693434574623,1301.0,1050.0,2350.0,1301.0,1049.0,50.0,66.75,0.044954319247561825,5.991675298537702,7.236732891974586,321.7932529449463,0.04404498133481042,0.4428860696989455,0.15218441229289054
lowFramerate,ASMAG_TR_FAST,379.75,15.75,898.75,6.75,0.33410626257681036,0.3293941409895552,0.987811495802212,0.47336711777493024,-0.006333756307240725,1186935.25,80485029.25,10942645.0,611458.75,0.5452976832983057,0.9327925018966836,0.06720749810331628,0.45470231670169425,0.4188612738138238,0.4213466975207789,7.433589558354609,150.52006507962886,150.52006507962886,312.64375,165.15,2.067864693544344,677.5979497561087,681.82421875,15.417904883039226,4.507020846645177,186.24772813509145,223.98358583450317,304.27485704421997,359.8562479019165,0.7296281205412823,1301.0,1050.0,2350.0,1301.0,1049.0,50.0,406.25,0.258379372718076,5.473978539978218,6.490804131767989,233.69393742084503,0.0778088993102012,0.35868443885369905,0.13848889557897223
lowFramerate,P1_YOLO_Only,383.75,17.25,897.25,2.75,0.3446962612981396,0.33445001776606686,0.9855378777792572,0.47830141971366147,0.03969244331155085,1278461.75,81062231.25,10365443.0,519932.25,0.5889281233547794,0.9386172439497739,0.06138275605022605,0.41107187664522066,0.47267829627627966,0.4738144305716282,6.6090958071008705,163.27513036397397,163.27513036397397,198.775,165.90625,1.9957739802349999,653.9752529820854,657.591796875,4.520412176100223,4.650133629114269,227.87644714733906,217.01514720916748,297.366738319397,369.35657262802124,1.0,1301.0,1050.0,2350.0,1301.0,1049.0,0.0,0.0,0.0,6.200000000000001,7.9757855737159105,287.82811230421066,0.0,0.3446962612981396,0.158153202661075
lowFramerate,P2_FrameDiff,352.25,265.0,649.5,34.25,0.44815006434954674,0.3529721890330687,0.9478209986300172,0.4970549275932801,0.11610582030197185,1191539.75,85298223.5,6129450.75,606854.25,0.5788635038677273,0.9628511993978,0.03714880060220008,0.4211364961322726,0.48162653769345953,0.48749922703689663,4.294261355226057,162.42302612198452,162.42302612198452,296.56875,168.59375,2.017993061588045,661.2559654450961,662.984375,58.12118032560398,4.491835484849575,197.17295133899395,219.78777647018433,294.0034866333008,356.01121187210083,0.8467621718453048,1301.0,1050.0,2350.0,1301.0,1049.0,0.0,0.0,0.0,5.533810859226523,7.2362610864975485,235.06083548069,0.004999896181462049,0.451302368297613,0.16006350049980753
lowFramerate,P3_MOG2,360.25,203.75,710.75,26.25,0.4217895963735354,0.3520671553861464,0.9633208966100213,0.49411317585286196,0.1279094958679721,1203590.25,85289527.25,6138147.0,594803.75,0.5846320017674956,0.9627462669784773,0.0372537330215226,0.41536799823250425,0.48362823161106794,0.48965143176350456,4.2974899301332865,161.25177826882108,161.25177826882108,311.61875,167.95,2.0978614518054215,687.4272439438611,688.55078125,15.539667471609029,4.3286603943281525,218.18484042409113,233.04086923599243,314.9697780609131,377.96956300735474,0.8815820335196167,1301.0,1050.0,2350.0,1301.0,1049.0,50.0,0.0,0.0,6.107910167598085,7.37194458309544,271.2217001914978,0.01219084356448625,0.42532767463845966,0.16053400585984978
nightVideos,ASMAG_TR_CONTROLLER,712.3333333333334,372.1666666666667,962.6666666666666,0.3333333333333333,0.4773599864732494,0.4318738549058027,0.9996735226901731,0.599505328800825,0.10656581161129307,807531.1666666666,107612792.33333333,1347232.3333333333,770011.1666666666,0.48559507184829115,0.9864761939363471,0.013523806063652867,0.5144049281517088,0.395658116422756,0.405576548566605,2.527923557821263,155.3106874682562,155.3106874682562,256.21666666666664,164.26250000000002,2.2501447307397604,737.3274492740989,742.8795572916666,20.604305022290244,5.132771187543228,195.11182959878548,178.71208985646567,256.5400958061218,305.5617181460063,0.914698732696451,2047.5,721.6666666666666,2768.1666666666665,2047.5,720.6666666666666,50.0,0.0,0.0,6.273493663482256,7.491816432589605,340.07727150122327,0.047589668255549465,0.5190644776257506,0.06547342392487686
