category,video,Pipeline,Event_TP,Event_TN,Event_FP,Event_FN,Event_Accuracy,Event_Precision,Event_Recall,Event_F1,MCC,TP_pixel,TN_pixel,FP_pixel,FN_pixel,Recall,Specificity,FPR,FNR,Precision,CDnet_FMeasure,PWC,avg_CPU,avg_process_cpu_percent,max_process_cpu_percent,median_CPU,avg_RAM,avg_ram_mb,max_ram_mb,avg_FPS,median_FPS,avg_latency_ms,median_latency_ms,P95_latency_ms,P99_latency_ms,Activation,processed_frames,temporal_roi_start,temporal_roi_end,evaluated_frames,skipped_frames_before_roi,warmup_frames,reused_prediction_count,reused_prediction_rate,Energy/frame,simulated_runtime_energy/frame,runtime_seconds,CPU_reduction_rate,EE_Gate_Score,mAP_50
intermittentObjectMotion,sofa,P1_YOLO_Only,2247,0,4,0,0.998223011994669,0.998223011994669,1.0,0.9991107158737216,0.0,5611355,120640903,41187995,1777325,0.7594529740088892,0.7454843015738759,0.2545156984261241,0.2405470259911107,0.1199024131745419,0.207106809382072,25.39057733115646,163.27312305641937,163.27312305641937,187.675,166.475,2.037022289621836,667.4914760106619,671.4609375,3.731852073144484,3.837420093851698,271.8751720723339,260.5917453765869,343.9263105392456,415.6463146209717,1.0,2251,500,2750,2251,499,0,0,0.0,6.200000000000002,7.909216664137179,611.9910123348236,0.0,0.998223011994669,0.0252315017298817
intermittentObjectMotion,streetLight,P1_YOLO_Only,2466,8,540,12,0.8175809649702578,0.8203592814371258,0.9951573849878934,0.8993435448577679,0.0463660290757785,503894,6713016,7112981,201051,0.714799026874437,0.4855357628097272,0.5144642371902728,0.285200973125563,0.0661549519980306,0.1211018743496014,50.33419030920363,160.3256196298744,160.3256196298744,192.8,164.575,1.7093247636138251,560.1115733951586,566.87109375,3.94003140347106,3.803112091175912,272.6354920462276,262.9425525665283,329.28723096847534,507.2264075279236,1.0,3026,175,3200,3026,174,0,0,0.0,6.200000000000001,7.667906075350136,824.9949989318848,0.0,0.8175809649702578,0.0001533475244838
intermittentObjectMotion,tramstop,P1_YOLO_Only,1728,0,0,153,0.9186602870813396,1.0,0.9186602870813396,0.9576059850374066,0.0,480943,6571029,27696,965268,0.3325538251334003,0.995802825545844,0.0041971744541559,0.6674461748665997,0.94554880770055,0.4920510525104228,12.34272093649968,161.46366294524188,161.46366294524188,198.2,164.4,1.918845288237633,628.7672074362041,630.140625,4.134858001849886,4.130150374236977,247.35620362780185,242.12193489074707,321.66004180908203,399.0591049194336,1.0,1881,1320,3200,1881,1319,0,0,0.0,6.200000000000002,7.870370529367873,465.27701902389526,0.0,0.9186602870813396,0.0002427207974403
intermittentObjectMotion,winterDriveway,P1_YOLO_Only,1110,0,391,0,0.7395069953364424,0.7395069953364424,1.0,0.8502489467636921,0.0,675377,75901886,15366662,15993,0.97686766854217,0.8316324480148408,0.1683675519851592,0.0231323314578301,0.0421004462088641,0.080721985579866,16.72756493758509,161.41807128580948,161.41807128580948,190.9,164.35,2.0462450943018577,670.5135925008328,672.2734375,3.7914893903855615,3.849083545855744,268.7764436224951,259.80210304260254,344.3429470062256,432.6095581054688,1.0,1501,1000,2500,1501,999,0,0,0.0,6.200000000000002,7.888719634119572,403.4334418773651,0.0,0.7395069953364424,0.0623718960152189
lowFramerate,port_0_17fps,P1_YOLO_Only,194,35,1763,9,0.1144427786106946,0.0991313234542667,0.955665024630542,0.1796296296296296,-0.051200914940371,313,148903929,5015194,45478,0.0068354043370968,0.9674166932461016,0.0325833067538982,0.9931645956629032,6.240645262782008e-05,0.0001236836874651,3.286899507507276,164.66534232883558,164.66534232883558,203.625,167.675,1.733944298087925,568.1789046882809,572.6484375,4.607098614414415,4.761049852320531,222.19594224341685,210.0377082824707,298.1274127960205,359.54999923706055,1.0,2001,1000,3000,2001,999,0,0,0.0,6.200000000000002,8.020923705122499,444.6140804290772,0.0,0.1144427786106946,0.0
lowFramerate,tramCrossroad_1fps,P1_YOLO_Only,146,5,348,2,0.3013972055888224,0.2955465587044534,0.9864864864864864,0.454828660436137,0.0025295787961087,297053,12405108,48538,58518,0.835425273714673,0.9961025068481952,0.0038974931518047,0.164574726285327,0.8595507406153516,0.8473163120648294,0.8357731780170482,162.19725548902193,162.19725548902193,193.65,164.95,2.098036026526354,687.4844451721557,688.70703125,4.576718447541846,4.675799086757991,223.041661961112,213.8671875,282.7341556549072,374.21607971191406,1.0,501,400,900,501,399,0,0,0.0,6.200000000000001,7.8821592194719186,111.74387264251708,0.0,0.3013972055888224,0.1620255302228213
lowFramerate,tunnelExit_0_35fps,P1_YOLO_Only,845,0,1156,0,0.4222888555722139,0.4222888555722139,1.0,0.5938158819395642,0.0,3266365,140560724,36314004,1720018,0.6550569821852834,0.7946908277365662,0.2053091722634338,0.3449430178147166,0.0825248748944205,0.1465830402000127,20.91377413833132,163.54341579210396,163.54341579210396,204.725,166.275,1.9901260383602144,652.1246037137681,656.80078125,5.002784594146275,5.1831634777816085,206.2311529934496,192.9323673248291,279.82521057128906,355.1592826843262,1.0,2001,2000,4000,2001,1999,0,0,0.0,6.200000000000002,7.827137499541248,412.6685371398926,0.0,0.4222888555722139,0.059289755892349
lowFramerate,turnpike_0_5fps,P1_YOLO_Only,350,29,322,0,0.5406562054208274,0.5208333333333334,1.0,0.684931506849315,0.2074411093904657,1550116,22379164,84036,255715,0.8583948331820641,0.9962589479682324,0.0037410520317675,0.1416051668179359,0.9485751631427188,0.9012346863342058,1.399936404547837,162.69450784593437,162.69450784593437,193.1,164.725,2.1609895579655056,708.1130583541369,712.2109375,3.895047048298353,3.980522099596947,260.0370313913778,251.2233257293701,328.7801742553711,388.5009288787842,1.0,701,800,1500,701,799,0,0,0.0,6.200000000000001,8.172921870727976,182.28595900535583,0.0,0.5406562054208274,0.4112975245291297
nightVideos,bridgeEntry,P1_YOLO_Only,260,489,289,463,0.4990006662225183,0.4735883424408014,0.359612724757953,0.4088050314465409,-0.0122960851383505,115831,41017336,78952,475655,0.1958305014827062,0.9980788532531212,0.0019211467468789,0.8041694985172937,0.5946668857138456,0.2946345334739129,1.3303828599723266,162.21264157228512,162.21264157228512,194.475,165.725,2.021518188822198,662.4110801132579,665.23046875,4.313639199667497,4.407202742901335,236.78833131072204,226.9012928009033,312.7439022064209,373.1269836425781,1.0,1501,1000,2500,1501,999,0,0,0.0,6.200000000000002,7.772330942593861,355.4192852973938,0.0,0.4990006662225183,0.0076461086320987
nightVideos,busyBoulvard,P1_YOLO_Only,223,666,805,337,0.4377154111275234,0.2169260700389105,0.3982142857142857,0.2808564231738035,-0.1332092151828262,12171,32136889,4428,1163799,0.0103497538202505,0.9998622333988368,0.0001377666011632,0.9896502461797496,0.7332369419844569,0.0204113975795111,3.506368930939665,162.19416543574593,162.19416543574593,187.275,165.275,2.151955230549484,705.152689946455,706.82421875,4.808512770232027,4.9628511252573535,211.29934403885767,201.49707794189453,279.807448387146,335.00485420227056,1.0,2031,730,2760,2031,729,0,0,0.0,6.200000000000002,7.9086098619582526,429.1489677429199,0.0,0.4377154111275234,3.443235298860756e-05
